codigo_empresa;tipo_colaborador;cadastro_colaborador;codigo_calculo;tabela_evento;codigo_evento;referencia_evento;valor_evento;codigo_rubrica;fator_rubrica;origem_evento
8;1;380580;10872;1;200;30,00;1414,80;;;
8;1;380580;10872;1;222;1,00;28,30;;;
8;1;380580;10872;1;284;0,40;2,57;;;
8;1;380580;10872;1;305;0,00;54,00;;;
8;1;380580;10872;1;306;4,00;6,24;;;
8;1;380580;10872;1;311;1,00;6,43;;;
8;1;380580;10872;1;2000;8,00;115,13;;;
6;1;384172;10890;1;200;14,00;667,38;;;
282;1;244309;10890;1;200;8,00;802,05;;;
6;1;378278;10890;1;200;1,00;38,99;;;
6;1;303968;10890;1;200;30,00;2883,58;;;
282;1;385960;10890;1;200;30,00;1170,00;;;
4;1;386218;10890;1;200;30,00;1550,00;;;
1629;1;383056;10890;1;200;30,00;1000,00;;;
4;1;385761;10890;1;200;30,00;1208,64;;;
4;1;382976;10890;1;200;30,00;1327,72;;;
1629;1;386417;10890;1;200;30,00;1400,00;;;
276;1;379762;10890;1;200;30,00;1619,87;;;
282;1;385883;10890;1;200;30,00;1170,00;;;
282;1;385066;10890;1;200;11,00;445,77;;;
282;1;376560;10890;1;200;30,00;1607,55;;;
282;1;365246;10890;1;200;14,00;725,99;;;
6;1;381701;10890;1;200;30,00;1208,64;;;
282;1;244309;10890;1;204;23,00;4963,41;;;
6;1;384172;10890;1;204;17,00;813,18;;;
6;1;378278;10890;1;204;30,00;1207,05;;;
282;1;385066;10890;1;204;20,00;945,94;;;
282;1;365246;10890;1;204;17,00;934,57;;;
1629;1;383056;10890;1;218;0,00;534,95;;;
1629;1;383056;10890;1;220;0,00;890,00;;;
6;1;303968;10890;1;220;0,00;1609,22;;;
4;1;386218;10890;1;220;0,00;1547,00;;;
282;1;244309;10890;1;220;0,00;739,39;;;
282;1;376560;10890;1;222;2,00;96,45;;;
6;1;378278;10890;1;222;1,00;1,17;;;
282;1;365246;10890;1;222;2,00;43,56;;;
282;1;244309;10890;1;222;4,00;184,97;;;
6;1;303968;10890;1;222;3,00;404,35;;;
276;1;379762;10890;1;222;1,00;64,79;;;
282;1;385883;10890;1;244;11,00;1,99;;;
282;1;385066;10890;1;244;12,00;9,30;;;
6;1;384172;10890;1;244;12,00;5,65;;;
276;1;379762;10890;1;244;12,00;17,04;;;
276;1;379762;10890;1;248;1,00;116,00;;;
282;1;385883;10890;1;265;0,00;5,80;;;
282;1;385883;10890;1;297;3,41;29,02;;;
4;1;382976;10890;1;305;0,00;54,00;;;
282;1;385960;10890;1;305;0,00;54,00;;;
282;1;385883;10890;1;305;0,00;54,00;;;
4;1;386218;10890;1;305;0,00;54,00;;;
6;1;384172;10890;1;305;0,00;54,00;;;
282;1;365246;10890;1;305;0,00;54,00;;;
282;1;244309;10890;1;305;0,00;54,00;;;
6;1;303968;10890;1;305;0,00;54,00;;;
6;1;381701;10890;1;305;0,00;54,00;;;
276;1;379762;10890;1;305;0,00;54,00;;;
282;1;385066;10890;1;305;0,00;54,00;;;
6;1;378278;10890;1;305;0,00;54,00;;;
282;1;376560;10890;1;305;0,00;54,00;;;
4;1;385761;10890;1;305;0,00;54,00;;;
6;1;381701;10890;1;306;20,00;31,20;;;
6;1;384172;10890;1;306;1,00;1,56;;;
282;1;385883;10890;1;306;11,00;17,16;;;
282;1;385960;10890;1;306;20,00;31,20;;;
282;1;376560;10890;1;306;13,00;20,28;;;
4;1;382976;10890;1;306;21,00;32,76;;;
4;1;385761;10890;1;306;11,00;17,16;;;
4;1;386218;10890;1;306;11,00;42,60;;;
6;1;378278;10890;1;306;11,00;25,64;;;
4;1;382976;10890;1;311;0,23;1,39;;;
6;1;381701;10890;1;311;3,55;19,50;;;
282;1;376560;10890;1;311;10,98;80,23;;;
282;1;385960;10890;1;311;0,20;1,06;;;
6;1;378278;10890;1;325;0,58;3,19;;;
282;1;385066;10890;1;558;0,00;315,31;;;
6;1;378278;10890;1;558;0,00;402,35;;;
282;1;244309;10890;1;558;0,00;1654,47;;;
6;1;384172;10890;1;558;0,00;271,06;;;
282;1;365246;10890;1;558;0,00;311,52;;;
282;1;385066;10890;1;600;0,00;472,97;;;
282;1;385066;10890;1;615;0,00;157,66;;;
4;1;385761;10890;1;1650;1,00;31,07;;;
6;1;381701;10890;1;1650;1,00;31,07;;;
6;1;378278;10890;1;1701;0,00;38,90;;;
276;1;379762;10890;1;1957;0,00;116,00;;;
282;1;385066;10890;1;1972;0,00;128,65;;;
1629;1;386417;10890;1;2000;8,00;112,00;;;
276;1;379762;10890;1;2000;9,00;163,59;;;
282;1;244309;10890;1;2000;11,00;608,44;;;
6;1;303968;10890;1;2000;11,00;538,68;;;
282;1;365246;10890;1;2000;9,00;181,40;;;
4;1;386218;10890;1;2000;11,00;340,67;;;
282;1;376560;10890;1;2000;8,00;129,90;;;
4;1;385761;10890;1;2000;8,00;96,69;;;
1629;1;383056;10890;1;2000;9,00;218,24;;;
6;1;378278;10890;1;2000;8,00;131,70;;;
282;1;385960;10890;1;2000;8,00;93,51;;;
6;1;381701;10890;1;2000;8,00;95,13;;;
4;1;382976;10890;1;2000;8,00;106,10;;;
282;1;385883;10890;1;2000;8,00;96,54;;;
6;1;384172;10890;1;2000;9,00;158,15;;;
282;1;385066;10890;1;2000;9,00;166,04;;;
6;1;303968;10890;1;2004;22,50;259,21;;;
4;1;386218;10890;1;2004;7,50;49,71;;;
282;1;244309;10890;1;2014;27,50;1354,66;;;
4;1;382976;10890;1;2055;4,00;53,11;;;
282;1;385883;10890;1;2055;4,00;46,80;;;
6;1;384172;10890;1;2055;4,00;59,11;;;
6;1;381701;10890;1;2055;4,00;48,35;;;
4;1;385761;10890;1;2055;4,00;48,35;;;
282;1;385066;10890;1;2101;0,00;1790,98;;;
282;1;365246;10890;1;2101;0,00;1133,95;;;
6;1;378278;10890;1;2101;0,00;1464,56;;;
6;1;384172;10890;1;2101;0,00;986,66;;;
282;1;244309;10890;1;2101;0,00;5307,09;;;
282;1;385960;10890;1;2453;0,00;70,20;;;
6;1;381701;10890;1;2453;0,00;72,52;;;
282;1;385883;10890;1;2453;0,00;70,20;;;
6;1;384172;10890;1;2467;0,00;9,37;;;
282;1;376560;10890;1;2467;0,00;9,37;;;
6;1;381701;10890;1;2467;0,00;9,37;;;
282;1;385883;10890;1;2467;0,00;9,37;;;
6;1;378278;10890;1;2467;0,00;9,37;;;
282;1;385960;10890;1;2467;0,00;9,37;;;
6;1;303968;10890;1;2467;0,00;18,74;;;
282;1;244309;10890;1;2467;0,00;18,74;;;
4;1;382976;10890;1;2467;0,00;9,37;;;
4;1;385761;10890;1;2467;0,00;9,37;;;
282;1;365246;10890;1;2467;0,00;9,37;;;
8;1;385172;10892;1;200;30,00;1216,93;;;
8;1;116131;10892;1;200;22,00;3690,32;;;
8;1;116131;10892;1;204;9,00;2598,07;;;
8;1;116131;10892;1;220;0,00;2136,13;;;
8;1;385172;10892;1;244;12,00;7,20;;;
8;1;385172;10892;1;305;0,00;54,00;;;
8;1;116131;10892;1;305;0,00;54,00;;;
8;1;116131;10892;1;558;0,00;866,02;;;
8;1;116131;10892;1;600;0,00;1299,03;;;
8;1;116131;10892;1;615;0,00;433,01;;;
8;1;116131;10892;1;1967;0,00;524,38;;;
8;1;385172;10892;1;2000;8,00;97,93;;;
8;1;116131;10892;1;2000;11,00;608,44;;;
8;1;116131;10892;1;2004;27,50;605,52;;;
8;1;116131;10892;1;2014;27,50;1100,74;;;
8;1;116131;10892;1;2101;0,00;4631,14;;;
8;1;385172;10892;1;2453;0,00;73,02;;;
8;1;380580;10965;1;200;26,00;1313,74;;;
8;1;380580;10965;1;204;2,00;103,08;;;
8;1;380580;10965;1;222;1,00;26,27;;;
8;1;380580;10965;1;305;0,00;54,00;;;
8;1;380580;10965;1;306;19,00;29,64;;;
8;1;380580;10965;1;311;0,90;5,79;;;
8;1;380580;10965;1;558;0,00;34,36;;;
8;1;380580;10965;1;2000;8,00;117,73;;;
8;1;380580;10965;1;2101;0,00;113,77;;;
4;1;386218;10967;1;200;30,00;1550,00;;;
6;1;303968;10967;1;200;19,00;1956,72;;;
6;1;378278;10967;1;200;30,00;1208,64;;;
6;1;381701;10967;1;200;30,00;1208,64;;;
6;1;384172;10967;1;200;30,00;1477,76;;;
276;1;379762;10967;1;200;30,00;1619,87;;;
282;1;244309;10967;1;200;21,00;2330,95;;;
282;1;365246;10967;1;200;30,00;1607,55;;;
282;1;376560;10967;1;200;30,00;1607,55;;;
282;1;385066;10967;1;200;30,00;1256,27;;;
282;1;385883;10967;1;200;30,00;1208,64;;;
282;1;385960;10967;1;200;30,00;1170,00;;;
4;1;382976;10967;1;200;30,00;1327,72;;;
4;1;385761;10967;1;200;30,00;1208,64;;;
282;1;244309;10967;1;204;7,00;1672,46;;;
6;1;303968;10967;1;204;9,00;1574,08;;;
282;1;244309;10967;1;220;0,00;2148,84;;;
6;1;303968;10967;1;220;0,00;1091,97;;;
4;1;386218;10967;1;220;0,00;1547,00;;;
282;1;376560;10967;1;222;2,00;96,45;;;
