codigo_empresa;tipo_colaborador;cadastro_colaborador;codigo_calculo;tabela_evento;codigo_evento;referencia_evento;valor_evento;codigo_rubrica;fator_rubrica;origem_evento
6;1;303968;8568;1;200;30,00;2263,17;;;
282;1;365246;8568;1;200;10,00;325,81;;;
6;1;378278;8568;1;200;30,00;920,00;;;
1629;1;383056;8568;1;200;30,00;1000,00;;;
6;1;381701;8568;1;200;30,00;920,00;;;
6;1;353426;8568;1;200;12,00;462,19;;;
282;1;244309;8568;1;200;6,00;396,32;;;
276;1;379762;8568;1;200;30,00;1232,57;;;
4;1;382976;8568;1;200;30,00;860,00;;;
282;1;376560;8568;1;200;30,00;1010,00;;;
6;1;353426;8568;1;204;19,00;795,04;;;
282;1;365246;8568;1;204;21,00;697,88;;;
282;1;244309;8568;1;204;25,00;3181,72;;;
6;1;303968;8568;1;220;0,00;1237,83;;;
282;1;244309;8568;1;220;0,00;298,33;;;
1629;1;383056;8568;1;220;0,00;890,00;;;
282;1;376560;8568;1;222;1,00;20,20;;;
6;1;378278;8568;1;222;1,00;18,40;;;
6;1;353426;8568;1;222;2,00;18,49;;;
282;1;365246;8568;1;222;1,00;6,52;;;
6;1;303968;8568;1;222;3,00;210,06;;;
282;1;244309;8568;1;222;4,00;55,57;;;
276;1;379762;8568;1;224;26,00;534,30;;;
276;1;379762;8568;1;244;12,00;57,38;;;
6;1;381701;8568;1;244;12,00;1,42;;;
4;1;382976;8568;1;244;8,00;3,19;;;
276;1;379762;8568;1;257;32,00;403,67;;;
4;1;382976;8568;1;265;0,00;6,57;;;
6;1;381701;8568;1;265;0,00;0,21;;;
276;1;379762;8568;1;265;0,00;80,73;;;
4;1;382976;8568;1;286;5,25;32,84;;;
6;1;381701;8568;1;297;0,16;1,07;;;
276;1;379762;8568;1;305;0,00;46,00;;;
282;1;244309;8568;1;305;0,00;46,00;;;
282;1;376560;8568;1;305;0,00;46,00;;;
282;1;365246;8568;1;305;0,00;46,00;;;
6;1;378278;8568;1;305;0,00;46,00;;;
6;1;353426;8568;1;305;0,00;46,00;;;
6;1;381701;8568;1;305;0,00;46,00;;;
6;1;303968;8568;1;305;0,00;46,00;;;
4;1;382976;8568;1;305;0,00;46,00;;;
6;1;381701;8568;1;306;19,00;22,80;;;
4;1;382976;8568;1;306;19,00;22,80;;;
282;1;376560;8568;1;306;17,00;20,40;;;
6;1;378278;8568;1;306;12,00;14,40;;;
6;1;381701;8568;1;311;3,03;12,67;;;
6;1;378278;8568;1;311;5,27;22,04;;;
