codigo_empresa;tipo_colaborador;cadastro_colaborador;codigo_calculo;tabela_evento;codigo_evento;referencia_evento;valor_evento;codigo_rubrica;fator_rubrica;origem_evento
8;1;352683;4883;1;200;26,00;901,33;;;
8;1;352683;4883;1;204;4,00;219,50;;;
8;1;352683;4883;1;218;0,00;33,80;;;
8;1;352683;4883;1;220;0,00;463,67;;;
8;1;352683;4883;1;222;1,00;27,98;;;
8;1;352683;4883;1;305;0,00;28,00;;;
8;1;352683;4883;1;558;0,00;73,17;;;
8;1;352683;4883;1;2000;11,00;189,13;;;
8;1;352683;4883;1;2101;0,00;266,33;;;
8;1;352683;4883;1;2467;0,00;8,30;;;
6;1;307416;4886;1;200;10,00;360,00;;;
6;1;303968;4886;1;200;10,00;451,18;;;
4;1;365718;4886;1;200;10,00;246,00;;;
282;1;377248;4886;1;200;30,00;573,00;;;
282;1;376560;4886;1;200;30,00;573,46;;;
282;1;244309;4886;1;200;10,00;367,09;;;
282;1;365246;4886;1;200;10,00;191,15;;;
282;1;361488;4886;1;200;30,00;852,50;;;
6;1;353426;4886;1;200;30,00;573,46;;;
6;1;378278;4886;1;200;30,00;526,00;;;
6;1;307416;4886;1;204;20,00;1518,40;;;
6;1;303968;4886;1;204;20,00;1428,67;;;
4;1;365718;4886;1;204;20,00;492,57;;;
282;1;365246;4886;1;204;20,00;382,31;;;
282;1;244309;4886;1;204;20,00;1456,68;;;
6;1;307416;4886;1;218;0,00;33,33;;;
6;1;303968;4886;1;218;0,00;20,01;;;
282;1;361488;4886;1;218;0,00;41,50;;;
282;1;244309;4886;1;218;0,00;20,02;;;
6;1;303968;4886;1;220;0,00;215,67;;;
282;1;361488;4886;1;220;0,00;711,00;;;
282;1;244309;4886;1;220;0,00;300,00;;;
6;1;307416;4886;1;220;0,00;336,67;;;
282;1;244309;4886;1;222;3,00;41,23;;;
6;1;303968;4886;1;222;2,00;27,47;;;
6;1;307416;4886;1;222;2,00;29,20;;;
6;1;353426;4886;1;222;1,00;11,47;;;
282;1;244309;4886;1;305;0,00;28,00;;;
6;1;378278;4886;1;305;0,00;28,00;;;
6;1;353426;4886;1;305;0,00;28,00;;;
6;1;307416;4886;1;305;0,00;28,00;;;
282;1;365246;4886;1;305;0,00;28,00;;;
4;1;365718;4886;1;305;0,00;28,00;;;
