codigo_empresa;tipo_colaborador;cadastro_colaborador;codigo_calculo;tabela_evento;codigo_evento;referencia_evento;valor_evento;codigo_rubrica;fator_rubrica;origem_evento
276;1;67563;4222;1;200;30,00;276,42;;;
282;1;244309;4222;1;200;12,00;361,24;;;
282;1;361488;4222;1;200;26,00;617,07;;;
282;1;376560;4222;1;200;30,00;520,00;;;
282;1;377248;4222;1;200;30,00;480,00;;;
4;1;353671;4222;1;200;16,00;408,53;;;
4;1;365718;4222;1;200;19,00;329,33;;;
4;1;377735;4222;1;200;30,00;480,00;;;
6;1;303968;4222;1;200;10,00;389,24;;;
6;1;307416;4222;1;200;10,00;332,03;;;
6;1;353426;4222;1;200;30,00;520,00;;;
282;1;244309;4222;1;204;18,00;1021,52;;;
6;1;307416;4222;1;204;20,00;1113,20;;;
6;1;303968;4222;1;204;20,00;1308,53;;;
4;1;365718;4222;1;204;11,00;200,02;;;
4;1;353671;4222;1;204;14,00;374,92;;;
282;1;365246;4222;1;204;30,00;541,14;;;
282;1;361488;4222;1;204;4,00;196,67;;;
282;1;377248;4222;1;218;0,00;16,00;;;
6;1;307416;4222;1;218;0,00;20,99;;;
4;1;353671;4222;1;218;0,00;16,34;;;
282;1;376560;4222;1;218;0,00;20,80;;;
276;1;67563;4222;1;218;0,00;11,06;;;
282;1;361488;4222;1;218;0,00;45,07;;;
6;1;303968;4222;1;218;0,00;24,20;;;
282;1;244309;4222;1;218;0,00;25,18;;;
6;1;353426;4222;1;218;0,00;20,80;;;
4;1;365718;4222;1;218;0,00;13,17;;;
282;1;244309;4222;1;220;0,00;268,40;;;
282;1;361488;4222;1;220;0,00;616,20;;;
6;1;303968;4222;1;220;0,00;215,67;;;
6;1;307416;4222;1;220;0,00;192,67;;;
276;1;67563;4222;1;222;4,00;34,50;;;
282;1;244309;4222;1;222;3,00;39,29;;;
6;1;307416;4222;1;222;1,00;10,91;;;
6;1;303968;4222;1;222;2,00;25,16;;;
276;1;67563;4222;1;244;0,00;1,23;;;
276;1;67563;4222;1;305;0,00;20,00;;;
282;1;244309;4222;1;305;0,00;20,00;;;
282;1;361488;4222;1;305;0,00;20,00;;;
282;1;365246;4222;1;305;0,00;20,00;;;
282;1;376560;4222;1;305;0,00;20,00;;;
282;1;377248;4222;1;305;0,00;20,00;;;
4;1;353671;4222;1;305;0,00;20,00;;;
4;1;365718;4222;1;305;0,00;20,00;;;
4;1;377735;4222;1;305;0,00;20,00;;;
6;1;303968;4222;1;305;0,00;20,00;;;
6;1;307416;4222;1;305;0,00;20,00;;;
6;1;353426;4222;1;305;0,00;20,00;;;
276;1;67563;4222;1;397;0,00;56,32;;;
282;1;365246;4222;1;558;0,00;180,38;;;
282;1;244309;4222;1;558;0,00;340,51;;;
4;1;365718;4222;1;558;0,00;66,67;;;
