codigo_empresa;tipo_colaborador;cadastro_colaborador;codigo_calculo;tabela_evento;codigo_evento;referencia_evento;valor_evento;codigo_rubrica;fator_rubrica;origem_evento
4;1;145459;194;1;200;20,00;810,40;;;
4;1;317241;194;1;200;30,00;363,83;;;
4;1;311960;194;1;200;13,00;210,17;;;
4;1;335339;194;1;200;30,00;221,15;;;
4;1;314331;194;1;200;30,00;293,05;;;
4;1;296333;194;1;204;30,00;453,24;;;
4;1;311960;194;1;204;17,00;450,25;;;
4;1;145459;194;1;204;10,00;742,00;;;
4;1;311960;194;1;218;0,00;42,14;;;
4;1;317241;194;1;218;0,00;36,39;;;
4;1;145459;194;1;218;0,00;150,33;;;
4;1;314331;194;1;218;0,00;24,35;;;
4;1;145459;194;1;220;0,00;439,27;;;
4;1;311960;194;1;220;0,00;86,67;;;
4;1;145459;194;1;222;3,00;84,00;;;
4;1;317241;194;1;224;0,00;200,11;;;
4;1;317241;194;1;257;52,00;141,18;;;
4;1;314331;194;1;257;2,50;5,40;;;
4;1;317241;194;1;265;0,00;35,30;;;
4;1;314331;194;1;265;0,00;1,35;;;
4;1;317241;194;1;280;0,00;40,02;;;
4;1;335339;194;1;311;0,83;0,83;;;
4;1;296333;194;1;558;0,00;151,08;;;
4;1;145459;194;1;558;0,00;247,34;;;
4;1;311960;194;1;558;0,00;150,08;;;
4;1;296333;194;1;1701;0,00;1,51;;;
4;1;311960;194;1;2000;0,00;103,32;;;
4;1;335339;194;1;2000;0,00;17,01;;;
4;1;145459;194;1;2000;0,00;146,11;;;
4;1;317241;194;1;2000;0,00;89,85;;;
4;1;296333;194;1;2000;0,00;54,39;;;
4;1;314331;194;1;2000;0,00;25,02;;;
4;1;145459;194;1;2004;0,00;38,68;;;
4;1;145459;194;1;2014;0,00;112,88;;;
4;1;311960;194;1;2014;0,00;6,43;;;
4;1;296333;194;1;2101;0,00;549,93;;;
4;1;145459;194;1;2101;0,00;859,84;;;
4;1;311960;194;1;2101;0,00;530,65;;;
4;1;314331;194;1;2453;0,00;19,04;;;
4;1;317241;194;1;2453;0,00;24,01;;;
4;1;145459;194;1;2467;0,00;3,02;;;
4;1;296333;194;1;2467;0,00;1,51;;;
4;1;335339;194;1;2467;0,00;1,51;;;
4;1;314331;194;1;2467;0,00;1,51;;;
8;1;299685;1228;1;200;23,00;1380,00;;;
282;1;244309;1228;1;200;27,00;391,48;;;
6;1;307416;1228;1;200;13,00;154,78;;;
4;1;288969;1228;1;200;24,00;234,44;;;
8;1;307416;1228;1;200;13,00;154,78;;;
4;1;325210;1228;1;200;30,00;279,00;;;
276;1;67563;1228;1;200;30,00;155,99;;;
282;1;318124;1228;1;200;30,00;377,92;;;
6;1;307416;1228;1;204;17,00;210,08;;;
8;1;331120;1228;1;204;2,00;44,87;;;
8;1;307416;1228;1;204;17,00;210,08;;;
6;1;303968;1228;1;204;30,00;977,43;;;
8;1;299685;1228;1;204;7,00;703,73;;;
282;1;244309;1228;1;204;3,00;76,01;;;
4;1;288969;1228;1;204;6,00;64,39;;;
282;1;244309;1228;1;218;0,00;110,21;;;
8;1;331120;1228;1;218;0,00;57,87;;;
8;1;307416;1228;1;218;0,00;4,89;;;
8;1;299685;1228;1;218;0,00;230,00;;;
6;1;307416;1228;1;218;0,00;4,89;;;
282;1;318124;1228;1;218;0,00;22,30;;;
4;1;325210;1228;1;218;0,00;27,00;;;
4;1;288969;1228;1;218;0,00;19,48;;;
8;1;299685;1228;1;220;0,00;613,33;;;
282;1;244309;1228;1;220;0,00;168,98;;;
8;1;299685;1228;1;222;2,00;88,93;;;
