codigo_empresa;tipo_colaborador;cadastro_colaborador;codigo_calculo;tabela_evento;codigo_evento;referencia_evento;valor_evento;codigo_rubrica;fator_rubrica;origem_evento
4;1;145459;166;1;200;30,00;1166,00;;;
4;1;325953;166;1;200;30,00;225,00;;;
4;1;317241;166;1;200;30,00;330,00;;;
4;1;314331;166;1;200;30,00;240,00;;;
4;1;311960;166;1;200;8,00;105,35;;;
4;1;296333;166;1;200;1,00;12,80;;;
4;1;311960;166;1;204;22,00;291,69;;;
4;1;296333;166;1;204;29,00;375,79;;;
4;1;145459;166;1;218;0,00;67,23;;;
4;1;317241;166;1;218;0,00;16,50;;;
4;1;314331;166;1;218;0,00;11,29;;;
4;1;296333;166;1;218;0,00;0,14;;;
4;1;145459;166;1;220;0,00;658,91;;;
4;1;145459;166;1;222;3,00;113,53;;;
4;1;311960;166;1;224;0,00;64,68;;;
4;1;317241;166;1;224;0,00;173,25;;;
4;1;317241;166;1;257;62,00;146,01;;;
4;1;317241;166;1;265;0,00;29,20;;;
4;1;317241;166;1;280;0,00;34,65;;;
4;1;314331;166;1;284;4,00;4,57;;;
4;1;311960;166;1;558;0,00;97,23;;;
4;1;296333;166;1;558;0,00;125,26;;;
4;1;311960;166;1;2000;0,00;50,31;;;
4;1;145459;166;1;2000;0,00;138,09;;;
4;1;314331;166;1;2000;0,00;19,57;;;
4;1;317241;166;1;2000;0,00;80,26;;;
4;1;296333;166;1;2000;0,00;46,26;;;
4;1;325953;166;1;2000;0,00;17,21;;;
4;1;145459;166;1;2004;0,00;118,14;;;
4;1;311960;166;1;2056;0,00;3,95;;;
4;1;311960;166;1;2101;0,00;353,92;;;
4;1;296333;166;1;2101;0,00;455,96;;;
4;1;314331;166;1;2453;0,00;15,08;;;
4;1;317241;166;1;2453;0,00;20,79;;;
4;1;314331;166;1;2467;0,00;1,36;;;
4;1;145459;166;1;2467;0,00;2,72;;;
4;1;296333;166;1;2467;0,00;1,36;;;
276;1;67563;1018;1;200;30,00;146,95;;;
282;1;244309;1018;1;200;25,00;340,04;;;
282;1;318124;1018;1;200;30,00;330,00;;;
4;1;288969;1018;1;200;30,00;274,90;;;
4;1;325210;1018;1;200;30,00;225,00;;;
6;1;303968;1018;1;200;10,00;195,89;;;
8;1;299685;1018;1;200;20,00;1085,09;;;
282;1;244309;1018;1;204;5,00;102,47;;;
8;1;307416;1018;1;204;19,00;194,16;;;
6;1;303968;1018;1;204;20,00;586,32;;;
6;1;307416;1018;1;204;19,00;194,16;;;
8;1;299685;1018;1;204;10,00;875,33;;;
8;1;307416;1018;1;218;0,00;5,06;;;
282;1;244309;1018;1;218;0,00;5,79;;;
6;1;307416;1018;1;218;0,00;5,06;;;
4;1;288969;1018;1;218;0,00;13,65;;;
6;1;303968;1018;1;218;0,00;9,00;;;
282;1;318124;1018;1;218;0,00;16,50;;;
8;1;299685;1018;1;218;0,00;64,91;;;
8;1;299685;1018;1;220;0,00;533,33;;;
6;1;303968;1018;1;220;0,00;88,27;;;
282;1;244309;1018;1;220;0,00;156,46;;;
8;1;299685;1018;1;222;2,00;67,33;;;
276;1;67563;1018;1;222;3,00;13,23;;;
282;1;244309;1018;1;222;1,00;10,05;;;
276;1;67563;1018;1;244;0,00;10,33;;;
4;1;288969;1018;1;257;0,25;0,50;;;
4;1;288969;1018;1;265;0,00;0,10;;;
282;1;318124;1018;1;280;0,00;27,72;;;
276;1;67563;1018;1;366;0,00;18,94;;;
276;1;67563;1018;1;397;0,00;56,32;;;
276;1;67563;1018;1;405;0,00;1,72;;;
282;1;244309;1018;1;558;0,00;34,15;;;
6;1;307416;1018;1;558;0,00;64,72;;;
8;1;299685;1018;1;558;0,00;291,78;;;
6;1;303968;1018;1;558;0,00;195,44;;;
8;1;307416;1018;1;558;0,00;64,72;;;
282;1;244309;1018;1;600;0,00;51,23;;;
6;1;303968;1018;1;600;10,00;293,16;;;
282;1;244309;1018;1;615;0,00;17,08;;;
6;1;303968;1018;1;615;0,00;97,72;;;
282;1;244309;1018;1;2000;0,00;71,39;;;
282;1;318124;1018;1;2000;0,00;28,63;;;
4;1;288969;1018;1;2000;0,00;22,12;;;
276;1;67563;1018;1;2000;0,00;18,93;;;
6;1;303968;1018;1;2000;0,00;118,24;;;
4;1;325210;1018;1;2000;0,00;17,21;;;
6;1;307416;1018;1;2000;0,00;27,90;;;
8;1;299685;1018;1;2000;0,00;138,09;;;
8;1;307416;1018;1;2000;0,00;27,90;;;
8;1;299685;1018;1;2004;0,00;106,89;;;
6;1;303968;1018;1;2014;0,00;1,00;;;
276;1;67563;1018;1;2055;0,00;5,99;;;
282;1;318124;1018;1;2056;0,00;6,93;;;
8;1;307416;1018;1;2101;0,00;239,08;;;
282;1;244309;1018;1;2101;0,00;192,64;;;
8;1;299685;1018;1;2101;0,00;976,10;;;
6;1;303968;1018;1;2101;0,00;1085,65;;;
6;1;307416;1018;1;2101;0,00;239,08;;;
4;1;288969;1018;1;2453;0,00;17,31;;;
4;1;325210;1018;1;2453;0,00;13,50;;;
276;1;67563;1018;1;2453;0,00;8,82;;;
4;1;288969;1018;1;2467;0,00;1,36;;;
6;1;307416;1018;1;2467;0,00;1,36;;;
282;1;244309;1018;1;2467;0,00;1,36;;;
8;1;299685;1018;1;2467;0,00;2,72;;;
8;1;307416;1018;1;2467;0,00;1,36;;;
276;1;261564;2346;1;200;30,00;329,22;;;
276;1;261564;2346;1;222;1,00;9,88;;;
276;1;261564;2346;1;244;0,00;5,82;;;
276;1;261564;2346;1;257;20,00;46,20;;;
276;1;261564;2346;1;265;0,00;9,24;;;
276;1;261564;2346;1;366;0,00;11,64;;;
276;1;261564;2346;1;1972;0,00;26,40;;;
276;1;261564;2346;1;2000;0,00;39,46;;;
276;1;261564;2346;1;2055;0,00;13,32;;;
276;1;261564;2346;1;2453;0,00;19,75;;;
282;1;271951;2519;1;200;30,00;572,62;;;
282;1;271951;2519;1;218;0,00;30,13;;;
282;1;271951;2519;1;2000;0,00;54,25;;;
282;1;271951;2519;1;2467;0,00;1,36;;;
4;1;145459;168;1;200;10,00;388,67;;;
4;1;296333;168;1;200;29,00;371,07;;;
4;1;311960;168;1;200;22,00;289,72;;;
4;1;314331;168;1;200;30,00;240,00;;;
4;1;317241;168;1;200;7,00;77,00;;;
4;1;322806;168;1;200;30,00;240,00;;;
4;1;325953;168;1;200;30,00;225,00;;;
4;1;296333;168;1;204;1,00;12,96;;;
4;1;145459;168;1;204;20,00;1337,11;;;
4;1;311960;168;1;204;8,00;106,07;;;
4;1;317241;168;1;204;23,00;269,53;;;
4;1;145459;168;1;218;0,00;22,41;;;
4;1;296333;168;1;218;0,00;4,07;;;
4;1;317241;168;1;218;0,00;3,85;;;
4;1;322806;168;1;218;0,00;11,29;;;
4;1;314331;168;1;218;0,00;11,29;;;
4;1;145459;168;1;220;0,00;219,64;;;
4;1;145459;168;1;222;3,00;37,84;;;
4;1;311960;168;1;224;0,00;129,40;;;
4;1;325953;168;1;257;2,00;3,75;;;
4;1;322806;168;1;257;1,33;2,28;;;
4;1;314331;168;1;257;1,58;2,70;;;
4;1;314331;168;1;265;0,00;0,54;;;
4;1;322806;168;1;265;0,00;0,46;;;
