codigo_empresa;tipo_colaborador;cadastro_colaborador;codigo_calculo;tabela_evento;codigo_evento;referencia_evento;valor_evento;codigo_rubrica;fator_rubrica;origem_evento
4;1;388489;12402;1;200;9,00;390,59;;;
4;1;387942;12402;1;200;30,00;1301,98;;;
6;1;381701;12402;1;200;30,00;1344,97;;;
4;1;387837;12402;1;200;30,00;1301,98;;;
4;1;386218;12402;1;200;16,00;1026,58;;;
4;1;385761;12402;1;200;6,00;275,45;;;
4;1;382976;12402;1;200;30,00;1477,49;;;
282;1;385883;12402;1;200;30,00;1344,97;;;
282;1;385066;12402;1;200;6,00;260,17;;;
282;1;376560;12402;1;200;16,00;923,29;;;
282;1;244309;12402;1;200;30,00;4165,25;;;
6;1;384172;12402;1;200;6,00;318,28;;;
6;1;384172;12402;1;204;25,00;1327,46;;;
4;1;386218;12402;1;204;15,00;1826,13;;;
282;1;385066;12402;1;204;25,00;1329,84;;;
282;1;376560;12402;1;204;15,00;917,52;;;
4;1;385761;12402;1;204;25,00;1151,82;;;
282;1;385066;12402;1;218;0,00;10,41;;;
4;1;386218;12402;1;220;0,00;921,29;;;
282;1;244309;12402;1;220;0,00;3634,75;;;
282;1;244309;12402;1;222;5,00;1170,00;;;
6;1;381701;12402;1;222;1,00;40,35;;;
282;1;376560;12402;1;222;2,00;55,40;;;
4;1;382976;12402;1;222;1,00;44,32;;;
282;1;385066;12402;1;244;12,00;14,36;;;
4;1;387942;12402;1;305;0,00;63,00;;;
4;1;388489;12402;1;305;0,00;18,90;;;
6;1;381701;12402;1;305;0,00;63,00;;;
6;1;384172;12402;1;305;0,00;63,00;;;
282;1;244309;12402;1;305;0,00;63,00;;;
282;1;376560;12402;1;305;0,00;63,00;;;
282;1;385066;12402;1;305;0,00;63,00;;;
282;1;385883;12402;1;305;0,00;63,00;;;
282;1;385960;12402;1;305;0,00;63,00;;;
4;1;382976;12402;1;305;0,00;63,00;;;
4;1;385761;12402;1;305;0,00;63,00;;;
4;1;386218;12402;1;305;0,00;63,00;;;
4;1;387837;12402;1;305;0,00;63,00;;;
4;1;385761;12402;1;306;5,00;8,75;;;
4;1;382976;12402;1;306;17,00;29,75;;;
6;1;381701;12402;1;306;17,00;39,18;;;
4;1;387837;12402;1;306;17,00;29,75;;;
